Unnamed: 0,Código,Compra,Venda,Máxima,Mínima,Var.,Var.%,Hora,extracted_at
,USD/BRL,53866,53874,54035,53298,577,"+1,08%",00:14:51,2022-07-06-at-03:15:04
,EUR/USD,10263,10264,10272,10254,-3,"-0,02%",00:14:48,2022-07-06-at-03:15:04
,USD/JPY,13520,13521,13590,13513,-67,"-0,49%",00:14:53,2022-07-06-at-03:15:04
,GBP/USD,11963,11967,11972,11944,8,"+0,07%",00:14:57,2022-07-06-at-03:15:04
,USD/CHF,09674,09678,09692,09672,-7,"-0,07%",00:14:56,2022-07-06-at-03:15:04
,USD/CAD,13041,13042,13045,13015,6,"+0,04%",00:14:49,2022-07-06-at-03:15:04
,EUR/JPY,13873,13882,13954,13866,-70,"-0,51%",00:14:57,2022-07-06-at-03:15:04
,AUD/USD,06805,06809,06819,06788,5,"+0,07%",00:14:56,2022-07-06-at-03:15:04
,NZD/USD,06167,06169,06226,06125,0,"0,00%",00:14:56,2022-07-06-at-03:15:04
,EUR/GBP,08577,08581,08597,08575,-5,"-0,06%",00:14:57,2022-07-06-at-03:15:04
,EUR/CHF,09927,09935,09952,09928,-10,"-0,10%",00:14:51,2022-07-06-at-03:15:04
,AUD/JPY,9200,9205,9246,9195,-40,"-0,43%",00:14:56,2022-07-06-at-03:15:04
,GBP/JPY,16175,16178,16251,16163,-69,"-0,43%",00:14:52,2022-07-06-at-03:15:04
,CHF/JPY,13972,13975,14032,13959,-53,"-0,38%",00:14:59,2022-07-06-at-03:15:04
,EUR/CAD,13383,13389,13390,13362,3,"+0,02%",00:15:00,2022-07-06-at-03:15:04
,AUD/CAD,08874,08882,08887,08848,16,"+0,18%",00:14:56,2022-07-06-at-03:15:04
,CAD/JPY,10365,10370,10431,10361,-51,"-0,49%",00:14:57,2022-07-06-at-03:15:04
,NZD/JPY,8336,8342,8389,8334,-41,"-0,49%",00:14:56,2022-07-06-at-03:15:04
,AUD/NZD,11032,11041,11041,11012,23,"+0,20%",00:14:56,2022-07-06-at-03:15:04
,GBP/AUD,17569,17584,17604,17550,-8,"-0,04%",00:14:56,2022-07-06-at-03:15:04
,EUR/AUD,15073,15084,15115,15055,-8,"-0,05%",00:14:57,2022-07-06-at-03:15:04
,GBP/CHF,11573,11582,11589,11567,-1,"-0,00%",00:14:57,2022-07-06-at-03:15:04
,EUR/NZD,16635,16644,16666,16608,10,"+0,06%",00:14:57,2022-07-06-at-03:15:04
,AUD/CHF,06583,06589,06600,06574,2,"+0,03%",00:14:56,2022-07-06-at-03:15:04
,GBP/NZD,19395,19400,19405,19361,25,"+0,13%",00:14:57,2022-07-06-at-03:15:04
,USD/INR,79178,79179,79410,79155,-190,"-0,24%",00:14:45,2022-07-06-at-03:15:04
,USD/CNY,67046,67066,67200,67032,-143,"-0,21%",00:14:45,2022-07-06-at-03:15:04
,USD/SGD,14035,14043,14060,14032,-12,"-0,09%",00:14:56,2022-07-06-at-03:15:04
,USD/HKD,78472,78473,78474,78465,7,"+0,01%",00:14:34,2022-07-06-at-03:15:04
,USD/DKK,72481,72491,72558,72437,27,"+0,04%",00:14:55,2022-07-06-at-03:15:04
,GBP/CAD,15602,15606,15609,15567,17,"+0,11%",00:14:57,2022-07-06-at-03:15:04
,USD/SEK,105040,105170,105225,104989,75,"+0,07%",00:14:56,2022-07-06-at-03:15:04
,USD/RUB,611500,611500,611500,611500,0,"+0,00%",05/07,2022-07-06-at-03:15:04
,USD/TRY,170054,170154,170368,169650,95,"+0,06%",00:14:45,2022-07-06-at-03:15:04
,USD/MXN,205343,205548,205553,204930,284,"+0,14%",00:14:59,2022-07-06-at-03:15:04
,USD/ZAR,165292,165338,165722,165107,32,"+0,02%",00:14:57,2022-07-06-at-03:15:04
,CAD/CHF,07416,07421,07441,07418,-8,"-0,10%",00:14:59,2022-07-06-at-03:15:04
,NZD/CAD,08041,08047,08053,08028,3,"+0,04%",00:14:59,2022-07-06-at-03:15:04
,NZD/CHF,05965,05970,05983,05966,-7,"-0,11%",00:14:57,2022-07-06-at-03:15:04
,BTC/USD,"19.827,0","19.832,0","20.736,0","19.287,0",-4680,"-2,31%",00:14:50,2022-07-06-at-03:15:04
,BTC/EUR,"19.301,2","19.304,2","19.802,6","19.251,8",-233,"-0,12%",00:14:59,2022-07-06-at-03:15:04
,ETH/USD,"1.119,48","1.119,49","1.174,90","1.076,34",-2511,"-2,19%",00:14:32,2022-07-06-at-03:15:04
